Country;Capital City;Latitude;Longitude;Population (thousands)
Syrian Arab Republic;Dimashq (Damascus);33.508586;36.308444;2573.845
Tajikistan;Dushanbe;38.53575;68.77905;800.745
TFYR Macedonia;Skopje;42;21.43333;501.303
Thailand;Krung Thep (Bangkok);13.721964;100.525248;9097.872
Timor-Leste;Dili;-8.560095;125.566848;228.136
Togo;Lome;6.13748;1.21227;929.52
Tokelau;Tokelau;-9.38;-171.25;0
Tonga;Nuku'alofa;-21.139441;-175.203246;24.998
Trinidad and Tobago;Port of Spain;10.66617;-61.51657;34.387
Tunisia;Tunis;36.81897;10.16579;1978.066
Turkey;Ankara;39.91987;32.85427;4643.663
Turkmenistan;Ashgabat;37.95;58.38333;735.482
Turks and Caicos Islands;Cockburn Town;21.46122;-71.14188;5.055
Tuvalu;Funafuti;-8.518892;179.199098;5.816
Uganda;Kampala;0.31628;32.58219;1862.764
Ukraine;Kyiv (Kiev);50.445368;30.518634;2916.588
United Arab Emirates;Abu Zaby (Abu Dhabi);24.464778;54.361781;1113.895
United Kingdom;London;51.50853;-0.12574;10189.315
United Republic of Tanzania;Dodoma;-6.17221;35.73947;227.762
United States of America;Washington. D.C.;38.89511;-77.03637;4895.968
United States Virgin Islands;Charlotte Amalie;18.3419;-64.9307;51.636
Uruguay;Montevideo;-34.83346;-56.16735;1697.731
Uzbekistan;Tashkent;41.26465;69.21627;2241.461
Vanuatu;Port Vila;-17.73381;168.32188;52.542
Venezuela (Bolivarian Republic of);Caracas;10.48801;-66.87919;2912.065
Viet Nam;Ha Noi;21.0245;105.84117;3469.706
Wallis and Futuna Islands;Matu-Utu;-13.28163;-176.17453;1.064
Western Sahara;El Aaiun;27.153164;-13.201359;262.36
Yemen;Sana'a';15.353115;44.20782;2833.199
Zambia;Lusaka;-15.413374;28.277148;2078.426
Zimbabwe;Harare;-17.82935;31.05389;1494.66
